Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 отдуб как ,ьчинзван теадап ,вунхо; мыртсо ;охнув, падает навзничь, как будто ; острым ; ; ножом его спереди ударили в;М. А. Булгаков. Записки покойника (Театральный роман) (1936-1937);М. А. Булгаков;1891;Записки покойника (Театральный роман);1936-1937;художественная;роман;_;;;книга;омонимия снята;Сквозь табачный дым я слежу за ним, я напрягаю зрение и вижу: сверкнуло сзади человека, выстрел, он, охнув, падает навзничь, как будто острым ножом его спереди ударили в сердце. [М. А. Булгаков. Записки покойника (Театральный роман) (1936-1937)] [омонимия снята]
 имиовс акичдибо олет в ясьтипв; имыртсо ;впиться в тело обидчика своими ; острыми ; ; зубами: у неё отняли её;Л. Н. Андреев. Кусака (1901);Л. Н. Андреев;1871;Кусака;1901;художественная;рассказ;_;;;книга;омонимия снята;Когда прибежали дети, шумные, звонкоголосые, быстрые и светлые, как капельки разбежавшейся ртути, Кусака замерла от страха и беспомощного ожидания: она знала, что, если теперь кто-нибудь ударит её, она уже не в силах будет впиться в тело обидчика своими острыми зубами: у неё отняли её непримиримую злобу. [Л. Н. Андреев. Кусака (1901)] [омонимия снята]
 ьтазердан ,йокум йыннапысоп ,тсил йынзележ; мыртсо ;железный лист, посыпанный мукой, надрезать ; острым ; ; ножом четырехугольные кусочки как лазанки,;Елена Молоховец. Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Колдуны, пельмени, вареники и т. д. (1875-1900);Елена Молоховец;1835;Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Колдуны, пельмени, вареники и т. д.;1875-1900;бытовая, нехудожественная, производственно-техническая;рецепт;дом и домашнее хозяйство;;;книга;омонимия снята;Замесить крутое тесто, раскатать тонко, сложить на железный лист, посыпанный мукой, надрезать острым ножом четырехугольные кусочки как лазанки, вставить в печь, чтобы подрумянились и подсохли. [Елена Молоховец. Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Колдуны, пельмени, вареники и т. д. (1875-1900)] [омонимия снята]
 или еквокниш в имакитмол ястюукниш; мыртсо ;шинкуются ломтиками в шинковке или ; острым ; ; ножом.;Елена Молоховец. Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Перечень разнородных правил при приг (1875-1900);Елена Молоховец;1835;Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Перечень разнородных правил при приг;1875-1900;бытовая, нехудожественная, производственно-техническая;рецепт;дом и домашнее хозяйство;;;книга;омонимия снята;Свежие огурцы для салата очищаются ножом от кожицы, и затем шинкуются ломтиками в шинковке или острым ножом. [Елена Молоховец. Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Перечень разнородных правил при приг (1875-1900)] [омонимия снята]
,урдец юукьнетлёж юумас окнот ьнечо; мыртсо ;очень тонко самую жёлтенькую цедру,; острым ; ; ножом, кругом лимона, вскипятить её;Елена Молоховец. Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Перечень разнородных правил при приг (1875-1900);Елена Молоховец;1835;Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Перечень разнородных правил при приг;1875-1900;бытовая, нехудожественная, производственно-техническая;рецепт;дом и домашнее хозяйство;;;книга;омонимия снята;Обварить, обтереть его чистым полотенцем, срезать очень тонко самую жёлтенькую цедру,острым ножом, кругом лимона, вскипятить её с водой или сиропом, приготовленным для желе лимонного, для киселя, сабайона, варенья и пр. и затем вынуть её. [Елена Молоховец. Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Перечень разнородных правил при приг (1875-1900)] [омонимия снята]
" мымас ьтазерзар ;уклуб юувтсрёч адгесв"; мыртсо ;"всегда чёрствую булку; разрезать самым "; острым ; ; ножом.;Елена Молоховец. Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Перечень разнородных правил при приг (1875-1900);Елена Молоховец;1835;Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Перечень разнородных правил при приг;1875-1900;бытовая, нехудожественная, производственно-техническая;рецепт;дом и домашнее хозяйство;;;книга;омонимия снята;"Для греночек и гренок надо брать всегда чёрствую булку; разрезать самым острым ножом. [Елена Молоховец. Подарок молодым хозяйкам, или средство к уменьшению расходов в домашнем хозяйстве / Перечень разнородных правил при приг (1875-1900)] [омонимия снята]"
 юоннёжбанс ,юьтсап окьлот теадалбо лидокорК; имыртсо ;Крокодил обладает только пастью, снабжённою ; острыми ; ; зубами, и вдобавок к пасти;Ф. М. Достоевский. Крокодил (1865);Ф. М. Достоевский;1821;Крокодил;1865;художественная;рассказ;_;;;книга;омонимия снята;Крокодил обладает только пастью, снабжённою острыми зубами, и вдобавок к пасти ― значительно длинным хвостом ― вот и всё, по-настоящему. [Ф. М. Достоевский. Крокодил (1865)] [омонимия снята]
 ,имиклем юунняесу ,ьтсюлеч юутунятыв йобос; имыртсо ;собой вытянутую челюсть, усеянную мелкими, ; острыми ; ; зубами.;Александр Волков. Археоптерикс: старая новая птица // «Знание-сила», 2014;Александр Волков;;Археоптерикс: старая новая птица;2014;нехудожественная, публицистика;статья;биология, история, наука и технологии, природа;«Знание-сила»;2014;журнал;омонимия не снята;Так, у него еще отсутствовал роговой чехол клюва ― тот представлял собой вытянутую челюсть, усеянную мелкими, острыми зубами. [Александр Волков. Археоптерикс: старая новая птица // «Знание-сила», 2014] [омонимия не снята]
 йошьлоб ыб леми йыроток ,атнаругиф; йыртсо ;фигуранта, который имел бы большой ; острый ; ; зуб одновременно на обоих, тогда;Александра Маринина. Ангелы на льду не выживают. Т. 1 (2014);Александра Маринина;1957;Ангелы на льду не выживают. Т. 1;2014;художественная;роман;_;;;книга;омонимия не снята;Хорошо бы, как напутствовал ее Стасов, найти такого фигуранта, который имел бы большой острый зуб одновременно на обоих, тогда все становится прозрачным: одного убили, второго подставили. [Александра Маринина. Ангелы на льду не выживают. Т. 1 (2014)] [омонимия не снята]
 иовс вазакоп ,сонолроГ лункилксов онболз; еыртсо ;злобно воскликнул Горлонос, показав свои ; острые ; ; зубы, похожие на расческу.;Михаил Тырин. «Будет немножечко больно» (2014);Михаил Тырин;;«Будет немножечко больно»;2014;художественная;рассказ;_;;;книга;омонимия не снята;неожиданно злобно воскликнул Горлонос, показав свои острые зубы, похожие на расческу. [Михаил Тырин. «Будет немножечко больно» (2014)] [омонимия не снята]
 илунселб ,ьсилирущос асонолроГ азалг ―; еыртсо ;― глаза Горлоноса сощурились, блеснули ; острые ; ; зубы, ― и я велю Дум-;Михаил Тырин. «Будет немножечко больно» (2014);Михаил Тырин;;«Будет немножечко больно»;2014;художественная;рассказ;_;;;книга;омонимия не снята;Еще одно лишнее слово, ― глаза Горлоноса сощурились, блеснули острые зубы, ― и я велю Дум- Думу зашить тебе рот!  [Михаил Тырин. «Будет немножечко больно» (2014)] [омонимия не снята]
 иовс еиневонгм ан вазакоп ,сонолроГ; еыртсо ;Горлонос, показав на мгновение свои ; острые ; ; зубы.;Михаил Тырин. «Будет немножечко больно» (2014);Михаил Тырин;;«Будет немножечко больно»;2014;художественная;рассказ;_;;;книга;омонимия не снята;Ну, погулял и хватит, ― скомандовал доктор Горлонос, показав на мгновение свои острые зубы. [Михаил Тырин. «Будет немножечко больно» (2014)] [омонимия не снята]
 адяр авД; хыртсо ;Два ряда ; острых ; ; зубов блеснули, как зубья пилы.;Михаил Тырин. «Будет немножечко больно» (2014);Михаил Тырин;;«Будет немножечко больно»;2014;художественная;рассказ;_;;;книга;омонимия не снята;Два ряда острых зубов блеснули, как зубья пилы. [Михаил Тырин. «Будет немножечко больно» (2014)] [омонимия не снята]
 имикперк имиовс ее тижред кеволеч; имыртсо ;человек держит ее своими крепкими ; острыми ; ; зубами, заражая идеями всеобщего равенства и;Светлана Князева. XX век берет разбег // «Знание-сила», 2014;Светлана Князева;;XX век берет разбег;2014;нехудожественная, публицистика;статья;армия и вооруженные конфликты, история, политиа и общественная жизнь;«Знание-сила»;2014;журнал;омонимия не снята;Глаза буравят, прожигают, гипнотизируют толпу, человек держит ее своими крепкими острыми зубами, заражая идеями всеобщего равенства и повального счастья, ― теперь не выпустит!  [Светлана Князева. XX век берет разбег // «Знание-сила», 2014] [омонимия не снята]
 ищомоп ирп ьтсонхревоп теуринакс МСА; йортсо ;АСМ сканирует поверхность при помощи ; острой ; ; иглы на гибком подвесе- кантилевере);На ФОПФ появился уникальный атомно-силовой микроскоп // «За науку», 2014;;;На ФОПФ появился уникальный атомно-силовой микроскоп;2014;нехудожественная, публицистика;заметка;техника, электроника;«За науку»;2014;журнал;омонимия не снята;Атомно- силовой микроскоп позволит рассмотреть ( точнее, ощупать, так как АСМ сканирует поверхность при помощи острой иглы на гибком подвесе- кантилевере) поверхность разных образцов при низких температурах и в сильном магнитном поле. [На ФОПФ появился уникальный атомно-силовой микроскоп // «За науку», 2014] [омонимия не снята]
 еынтарукка ан илидохоп ино от-меЧ; еыртсо ;Чем-то они походили на аккуратные ; острые ; ; зубы…;Виктор Пелевин. Бэтман Аполло (2013);Виктор Пелевин;1962;Бэтман Аполло;2013;художественная;роман;_;;;книга;омонимия не снята;Чем-то они походили на аккуратные острые зубы… [Виктор Пелевин. Бэтман Аполло (2013)] [омонимия не снята]
 с ижон еыньледомас еще зевирп; имыртсо ;привез еще самодельные ножи с ; острыми ; ; лезвиями и рукоятками из плотно;Зинаида Синявская. Пазлы // «Сибирские огни», 2013;Зинаида Синявская;1948;Пазлы;2013;художественная;повесть;_;«Сибирские огни»;2013;журнал;омонимия не снята;Папа привез еще самодельные ножи с острыми лезвиями и рукоятками из плотно подогнанных прозрачных разноцветных шайб. [Зинаида Синявская. Пазлы // «Сибирские огни», 2013] [омонимия не снята]
 ыб микаК « :анаротсер огондо; мыртсо ;одного ресторана: « Каким бы ; острым ; ; ножом ни резать хлеб, крошки;И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013);И. Г. Милославский;1938;Говорим правильно по смыслу или по форме?;2013;нехудожественная, учебно-научная;_;наука и технологии, филология;;;книга;омонимия не снята;Это значение « аккуратно красть» напомнило мне афоризм директора одного ресторана: « Каким бы острым ножом ни резать хлеб, крошки всегда останутся». [И. Г. Милославский. Говорим правильно по смыслу или по форме? (2013)] [омонимия не снята]
 еыннёзнов ,тежом ьтыб ,и яиназакирп; еыртсо ;приказания и, быть может, вонзённые ; острые ; ; зубы.;А. Г. Колмогоров. Мне доставшееся: Семейные хроники Надежды Лухмановой (2012);А. Г. Колмогоров;1945;Мне доставшееся: Семейные хроники Надежды Лухмановой;2012;нехудожественная, публицистика;биография, записные книжки;история, религия, частная жизнь;;;книга;омонимия не снята;Только два- три взгляда- приказания и, быть может, вонзённые острые зубы. [А. Г. Колмогоров. Мне доставшееся: Семейные хроники Надежды Лухмановой (2012)] [омонимия не снята]
 молаксо ,мотр мытунхапсар ьриш юсв; хыртсо ;всю ширь распахнутым ртом, оскалом ; острых ; ; зубов и розовым, каким-то еще;Алексей Макушинский. Город в долине (2012);Алексей Макушинский;1960;Город в долине;2012;художественная;роман;_;;;книга;омонимия не снята;и ужасным, во всю ширь распахнутым ртом, оскалом острых зубов и розовым, каким-то еще живым нёбом, и как он бежал к дому, почему-то повторяя про себя: небо, нёбо, нёбо и небо, как заклинание или как формулу ужаса, и grande- mère в гробу, запах хвои, ладана и еще чего-то, о чем не был сил подумать, и как он стоял у этого гроба, почему-то один [Алексей Макушинский. Город в долине (2012)] [омонимия не снята]
 ыдяр ,итсюлеч еыннилд он ,норов; хыртсо ;ворон, но длинные челюсти, ряды ; острых ; ; зубов и довольно гибкая шея позволяют;Антон Арутюнов. Птеродактиль промежуточный // «Знание-сила», 2012;Антон Арутюнов;;Птеродактиль промежуточный;2012;нехудожественная, публицистика;статья;биология, наука и технологии;«Знание-сила»;2012;журнал;омонимия не снята;По размеру эти Дарвиноптерусы напоминали больших ворон, но длинные челюсти, ряды острых зубов и довольно гибкая шея позволяют думать, что они были, скорее, похожи на хищных ястребов и питались пойманной на лету живностью ― например, теми планирующими с веток на землю маленькими динозавренками, из которых ― через 10 миллионов лет!  [Антон Арутюнов. Птеродактиль промежуточный // «Знание-сила», 2012] [омонимия не снята]
 имынморго и имятсюлеч имишйенщом оге; имыртсо ;его мощнейшими челюстями и огромными ; острыми ; ; зубами оторвать кусок от добычи;Борис Жуков, Владимир Бойко. Читатель сообщает, спрашивает, спорит // «Знание-сила», 2012;Борис Жуков, Владимир Бойко;;Читатель сообщает, спрашивает, спорит;2012;нехудожественная, публицистика;заметка;биология, здоровье и медицина, наука и технологии;«Знание-сила»;2012;журнал;омонимия не снята;Даже для крокодила с его мощнейшими челюстями и огромными острыми зубами оторвать кусок от добычи ― сложнейшая задача: крокодил для этого должен вращаться всем телом. [Борис Жуков, Владимир Бойко. Читатель сообщает, спрашивает, спорит // «Знание-сила», 2012] [омонимия не снята]
 ексод йончоледзар йонняверед ан тюукниш; мыртсо ;шинкуют на деревянной разделочной доске ; острым ; ; ножом с длинным лезвием, получая;Вероника Селиверстова. Квасить за здравие // «Зеркало мира», 2012;Вероника Селиверстова;;Квасить за здравие;2012;нехудожественная, публицистика;статья;дом и домашнее хозяйство, здоровье и медицина;«Зеркало мира»;2012;журнал;омонимия не снята;Подготавливают её следующим образом: освобождают от зелёных листьев, моют холодной проточной водой, разрезают на несколько частей и шинкуют на деревянной разделочной доске острым ножом с длинным лезвием, получая стружку шириной до 5 мм. [Вероника Селиверстова. Квасить за здравие // «Зеркало мира», 2012] [омонимия не снята]
.ьтыб ен тежом ен отч; мыртсО ;что не может не быть.; Острым ; ; ножом Арсений разрезал на страдальце;Евгений Водолазкин. Лавр (2012);Евгений Водолазкин;1964;Лавр;2012;художественная;роман;_;;;книга;омонимия не снята;что не может не быть. Острым ножом Арсений разрезал на страдальце одежду и оголил ему торс. [Евгений Водолазкин. Лавр (2012)] [омонимия не снята]
 онрамота адгоК; яартсо ;Когда атомарно ; острая ; ; игла двигается вдоль поверхности образца,;Олег Осяев. На пороге новой эры // «Зеркало мира», 2012;Олег Осяев;;На пороге новой эры;2012;нехудожественная, публицистика;статья;наука и технологии, физика;«Зеркало мира»;2012;журнал;омонимия не снята;Когда атомарно острая игла двигается вдоль поверхности образца, между иглой и поверхностью начинает проходить постоянный ток ― ток туннелирования. [Олег Осяев. На пороге новой эры // «Зеркало мира», 2012] [омонимия не снята]
 ее ысуку еикгел ,алет ее; хыртсо ;ее тела, легкие укусы ее ; острых ; ; зубов ― все было как;Виктор Пелевин. S.N.U.F.F (2011);Виктор Пелевин;1962;S.N.U.F.F;2011;художественная;роман;_;;;книга;омонимия не снята;Она действительно не делала со мной ничего особенного ― нежные прикосновения ее пальцев и губ, касания ее тела, легкие укусы ее острых зубов ― все было как обычно, в полном соответствии с выработанным у нас протоколом и ритуалом. [Виктор Пелевин. S.N.U.F.F (2011)] [омонимия не снята]
 еыннечотс осок йобос дереп виватсыв; еыртсо ;выставив перед собой косо сточенные ; острые ; ; лезвия.;Даниил Корецкий. Менты не ангелы, но… (2011);Даниил Корецкий;1948;Менты не ангелы, но…;2011;художественная;роман;_;;;книга;омонимия не снята;прохрипел он и бросился к раненому, выставив перед собой косо сточенные острые лезвия. [Даниил Корецкий. Менты не ангелы, но… (2011)] [омонимия не снята]
 алуназер ончадуен аллА; мыртсо ;Алла неудачно резанула ; острым ; ; ножом по кочану и распорола;Маша Трауб. Нам выходить на следующей (2011);Маша Трауб;1976;Нам выходить на следующей;2011;художественная;роман;_;;;книга;омонимия не снята;Алла неудачно резанула острым ножом по кочану и распорола себе руку. [Маша Трауб. Нам выходить на следующей (2011)] [омонимия не снята]
 иовс хин о оламолбо ямерв; еыртсо ;время обломало о них свои ; острые ; ; зубы.;Николай Борисов. Тернистый путь к благолепию // «Наука и религия», 2011;Николай Борисов;;Тернистый путь к благолепию;2011;нехудожественная, публицистика;статья;история, строительство и архитектура;«Наука и религия»;2011;журнал;омонимия не снята;Кажется, что само время обломало о них свои острые зубы. [Николай Борисов. Тернистый путь к благолепию // «Наука и религия», 2011] [омонимия не снята]
 ,йикперК; йыртсо ;Крепкий, ; острый ; ; нож.;Р. Б. Ахмедов. Промельки (2011);Р. Б. Ахмедов;1933;Промельки;2011;нехудожественная, публицистика;мемуары;_;;;электронное издание;омонимия не снята;Крепкий, острый нож. [Р. Б. Ахмедов. Промельки (2011)] [омонимия не снята]
