Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 воктсордоп У; еортсо ;У подростков ; острое ; ; желание быть на острие хайпа.;Александра Манькова. Про Гнойноксимирона, 17-летних и почему вы старпёры, а не стартаперы (2016.12.20);Александра Манькова;;Про Гнойноксимирона, 17-летних и почему вы старпёры, а не стартаперы;2016.12.20;нехудожественная, публицистика;статья;политика и общественная жизнь, социология, частная жизнь;;;Интернет;омонимия не снята;У подростков острое желание быть на острие хайпа. [Александра Манькова. Про Гнойноксимирона, 17-летних и почему вы старпёры, а не стартаперы (2016.12.20)] [омонимия не снята]
 ан имаболаж с и идург; еыртсо ;груди и с жалобами на ; острые ; ; боли в животе, ― делилась;Елена Пушкарская. Пострижение в мамаши // «Огонек», 2015;Елена Пушкарская;;Пострижение в мамаши;2015;нехудожественная, публицистика;статья;религия, частная жизнь;«Огонек»;2015;журнал;омонимия не снята;К нам поступила женщина в полном монашеском облачении, с крестом на груди и с жалобами на острые боли в животе, ― делилась потом на всю страну впечатлениями сестра из приемного отделения горбольницы. [Елена Пушкарская. Пострижение в мамаши // «Огонек», 2015] [омонимия не снята]
 ,зирк йиксечинотрепиг ,тьлусни ,ткрафни ьтичулоп; юуртсо ;получить инфаркт, инсульт, гипертонический криз, ; острую ; ; боль в спине, а то и;Вера Краснова. Двигайся или заболеешь // «Эксперт», 2014;Вера Краснова;;Двигайся или заболеешь;2014;нехудожественная, публицистика;интервью;бизнес, коммерция, экономика, финансы, здоровье и медицина;«Эксперт»;2014;журнал;омонимия не снята;Я спрашиваю: « Вы знаете, какая самая страшная бытовая нагрузка, при которой можно получить инфаркт, инсульт, гипертонический криз, острую боль в спине, а то и умереть?»  [Вера Краснова. Двигайся или заболеешь // «Эксперт», 2014] [омонимия не снята]
 ализнорп товиж ее гурдВ; яартсо ;Вдруг ее живот пронзила ; острая ; ; боль, и ей показалось, будто;Виктор Пелевин. Любовь к трем цукербринам (2014);Виктор Пелевин;1962;Любовь к трем цукербринам;2014;художественная;роман;_;;;книга;омонимия не снята;Вдруг ее живот пронзила острая боль, и ей показалось, будто она видит когтистые лапы Птиц, поворачивающие кольца со светящимися знаками на Кресте Безголовых. [Виктор Пелевин. Любовь к трем цукербринам (2014)] [омонимия не снята]
.ашаД алункирк оньловзиорпен; яартсО ;непроизвольно крикнула Даша.; Острая ; ; боль в распоротом животе слилась;Виктор Пелевин. Любовь к трем цукербринам (2014);Виктор Пелевин;1962;Любовь к трем цукербринам;2014;художественная;роман;_;;;книга;омонимия не снята;непроизвольно крикнула Даша. Острая боль в распоротом животе слилась с моральным торжеством в одно пронзительное чувство, которое из всех земных творцов смог адекватно выразить лишь японский писатель Мисима. [Виктор Пелевин. Любовь к трем цукербринам (2014)] [омонимия не снята]
 ьдубин-адгок отч ,мот о ьлсым; яартсо ;мысль о том, что когда-нибудь ; острая ; ; боль притупится и начнется другая;Александра Маринина. Последний рассвет (2013);Александра Маринина;1957;Последний рассвет;2013;художественная;роман;_;;;книга;омонимия не снята;Когда на тебя сваливается горе, обычно в голову не приходит простая мысль о том, что когда-нибудь острая боль притупится и начнется другая жизнь, в которой будут другие люди, другие мысли и другие чувства. [Александра Маринина. Последний рассвет (2013)] [омонимия не снята]
 то ен и алз ос; огортсо ;со зла и не от ; острого ; ; желания кого-то обмануть.;Дмитрий Орешкин. Самозащитники Отечества // «Огонек», 2013;Дмитрий Орешкин;1953;Самозащитники Отечества;2013;нехудожественная, публицистика;статья;администрация и управление, армия и вооруженные конфликты;«Огонек»;2013;журнал;омонимия не снята;Причем даже не со зла и не от острого желания кого-то обмануть. [Дмитрий Орешкин. Самозащитники Отечества // «Огонек», 2013] [омонимия не снята]
 и юукзер теувтсвучоп нО; юуртсо ;Он почувствует резкую и ; острую ; ; боль и поймет, что его;Дмитрий Шляпентох. Конец Истории: благословенный Иов // «Сибирские огни», 2013;Дмитрий Шляпентох;1950;Конец Истории: благословенный Иов;2013;художественная;повесть;_;«Сибирские огни»;2013;журнал;омонимия не снята;Он почувствует резкую и острую боль и поймет, что его прибивают к кресту, затем ему станет немного легче ― вместе с кровью из порванной вены будут уходить силы, и тело обмякнет. [Дмитрий Шляпентох. Конец Истории: благословенный Иов // «Сибирские огни», 2013] [омонимия не снята]
 яажарбози ,ишуд то алавовтсйедецил и; юуртсо ;и лицедействовала от души, изображая ; острую ; ; боль.;Зинаида Синявская. Пазлы // «Сибирские огни», 2013;Зинаида Синявская;1948;Пазлы;2013;художественная;повесть;_;«Сибирские огни»;2013;журнал;омонимия не снята;"Скорая не слишком заморачивалась с выяснением, меня привезли в областную больницу; в боку при надавливании немного болело, но я, конечно, реагировала ярче и лицедействовала от души, изображая острую боль. [Зинаида Синявская. Пазлы // «Сибирские огни», 2013] [омонимия не снята]"
 ,мокутс михулг с лоп ан; яартсо ;на пол с глухим стуком, ; острая ; ; боль заставляет на мгновение потерять;Алена Браво. Комендантский час для ласточек // «Сибирские огни», 2012;Алена Браво;1966;Комендантский час для ласточек;2012;художественная;повесть;_;«Сибирские огни»;2012;журнал;омонимия не снята;"Осторожно, опираясь на руки, пробую спуститься с кровати; мой « испанский сапожок» грохается на пол с глухим стуком, острая боль заставляет на мгновение потерять сознание. [Алена Браво. Комендантский час для ласточек // «Сибирские огни», 2012] [омонимия не снята]"
 оньловоД; еортсо ;Довольно ; острое ; ; желание: не дело, когда вокруг;Анна Старобинец. Мечтают ли андроиды о летнем отпуске // «Русский репортер», 2012;Анна Старобинец;;Мечтают ли андроиды о летнем отпуске;2012;нехудожественная, публицистика;статья;администрация и управление, культурология;«Русский репортер»;2012;журнал;омонимия не снята;Довольно острое желание: не дело, когда вокруг все друг другу кланяются, а ты, как дурак, только щупаешь их ладони… [Анна Старобинец. Мечтают ли андроиды о летнем отпуске // «Русский репортер», 2012] [омонимия не снята]
.хагон ан яслажреду модурт с; йортсО ;с трудом удержался на ногах.; Острой ; ; болью пронзило плечо.;Даниил Корецкий. Менты не ангелы, но… (2011);Даниил Корецкий;1948;Менты не ангелы, но…;2011;художественная;роман;_;;;книга;омонимия не снята;с трудом удержался на ногах. Острой болью пронзило плечо. [Даниил Корецкий. Менты не ангелы, но… (2011)] [омонимия не снята]
 ирп мыньлобокно тюалед ― яифром; хыртсо ;морфия ― делают онкобольным при ; острых ; ; болях, когда уже нет сил;коллективный. Форум: Форум о медицинской диагностике (2010);коллективный;;Форум: Форум о медицинской диагностике;2010;нехудожественная, электронная коммуникация;форум;здоровье и медицина;;;электронный текст;омонимия не снята;Уколы морфия ― делают онкобольным при острых болях, когда уже нет сил терпеть. [коллективный. Форум: Форум о медицинской диагностике (2010)] [омонимия не снята]
 мотоП; яартсо ;Потом ; острая ; ; боль во всём теле приводила;Александр Беляев. Легко ли быть раком. Рассказ-фантазия // «Наука и жизнь», 2009;Александр Беляев;;Легко ли быть раком. Рассказ-фантазия;2009;художественная;рассказ;_;«Наука и жизнь»;2009;журнал;омонимия не снята;Потом острая боль во всём теле приводила в себя и опять начиналась « борьба с самим собой». [Александр Беляев. Легко ли быть раком. Рассказ-фантазия // «Наука и жизнь», 2009] [омонимия не снята]
 йовон то лытсаз еиневонгм еж; йортсо ;же мгновение застыл от новой ; острой ; ; боли.;Александр Беляев. Легко ли быть раком. Рассказ-фантазия // «Наука и жизнь», 2009;Александр Беляев;;Легко ли быть раком. Рассказ-фантазия;2009;художественная;рассказ;_;«Наука и жизнь»;2009;журнал;омонимия не снята;Я готов был лечь навзничь, чтобы прижать отставший панцирь обратно к спине, но в то же мгновение застыл от новой острой боли. [Александр Беляев. Легко ли быть раком. Рассказ-фантазия // «Наука и жизнь», 2009] [омонимия не снята]
 с « окьлот ястюащарбо сачйес; йортсо ;сейчас обращаются только « с ; острой ; ; болью», когда машина уже полностью;Игорь Сирин. Большой почин // «Однако», 2009;Игорь Сирин;;Большой почин;2009;нехудожественная, публицистика;статья;бизнес, коммерция, экономика, финансы, техника;«Однако»;2009;журнал;омонимия не снята;Если раньше клиенты приезжали на сервис регулярно, в соответствии с рекомендациями завода- изготовителя, стараясь поддерживать автомобиль в надлежащем техническом состоянии, то сейчас обращаются только « с острой болью», когда машина уже полностью встала или езда на ней небезопасна. [Игорь Сирин. Большой почин // «Однако», 2009] [омонимия не снята]
 еж тут и ьсаляемссар ясураМ; яартсо ;Маруся рассмеялась и тут же ; острая ; ; боль пронзила все тело.;Полина Волошина, Евгений Кульков. Маруся (2009);Полина Волошина, Евгений Кульков;;Маруся;2009;художественная;повесть;_;;;книга;омонимия не снята;Маруся рассмеялась и тут же острая боль пронзила все тело. [Полина Волошина, Евгений Кульков. Маруся (2009)] [омонимия не снята]
 ализнорп ьвонв уволоГ; яартсо ;Голову вновь пронзила ; острая ; ; боль.;Полина Волошина, Евгений Кульков. Маруся (2009);Полина Волошина, Евгений Кульков;;Маруся;2009;художественная;повесть;_;;;книга;омонимия не снята;Голову вновь пронзила острая боль. [Полина Волошина, Евгений Кульков. Маруся (2009)] [омонимия не снята]
 ьсилавадто еинеживд еоджак ,гаш йыджаК; йортсо ;Каждый шаг, каждое движение отдавались ; острой ; ; болью.;Ю. И. Андреева. Многоточие сборки (2009);Ю. И. Андреева;1969;Многоточие сборки;2009;художественная проза;повесть;_;;;книга;омонимия не снята;Каждый шаг, каждое движение отдавались острой болью. [Ю. И. Андреева. Многоточие сборки (2009)] [омонимия не снята]
 еморК; йортсо ;Кроме ; острой ; ; боли за него, я испытала дополнительную;Геннадий Горелик. «...никогда не поссорятся» Лев Ландау и Матвей Бронштейн // «Знание - сила», 2008;Геннадий Горелик;;«...никогда не поссорятся» Лев Ландау и Матвей Бронштейн;2008;нехудожественная, публицистика;статья;история, наука и технологии, физика, частная жизнь;«Знание - сила»;2008;журнал;омонимия не снята;Кроме острой боли за него, я испытала дополнительную боль: а вдруг они по общему делу, ― Митя и Лева ― вдруг у Мити вынудили дать какие-нибудь показания против Левы?  [Геннадий Горелик. «...никогда не поссорятся» Лев Ландау и Матвей Бронштейн // «Знание - сила», 2008] [омонимия не снята]
« меунеми ым отч ,оТ; йортсо ;То, что мы именуем «; острой ; ; болью» разного типа ( колющей,;Рафаил Нудельман. Краткая история боли // «Знание - сила», 2008;Рафаил Нудельман;1931;Краткая история боли;2008;нехудожественная, публицистика;статья;биология, здоровье и медицина, наука и технологии;«Знание - сила»;2008;журнал;омонимия не снята;То, что мы именуем «острой болью» разного типа ( колющей, режущей и т. п. [Рафаил Нудельман. Краткая история боли // «Знание - сила», 2008] [омонимия не снята]
 яашуквдерп ,гаш лироксу ,мокшем вунтом; юуртсо ;мотнув мешком, ускорил шаг, предвкушая ; острую ; ; боль в лодыжке.;Александр Иличевский. Матисс // «Новый Мир», 2007;Александр Иличевский;1970;Матисс;2007;художественная;роман;_;«Новый Мир»;2007;журнал;омонимия не снята;Королев съежился и, мотнув мешком, ускорил шаг, предвкушая острую боль в лодыжке. [Александр Иличевский. Матисс // «Новый Мир», 2007] [омонимия не снята]
.товиж в раду лавовтсвучоп ьлывоК; яартсО ;Ковыль почувствовал удар в живот.; Острая ; ; боль немного выше паха на;Евгений Сухов. Делу конец ― сроку начало (2007);Евгений Сухов;1959;Делу конец ― сроку начало;2007;художественная;роман;_;;;книга;омонимия не снята;Ковыль почувствовал удар в живот. Острая боль немного выше паха на миг парализовала все тело, не давая возможности пошевелить ни рукой, ни ногой. [Евгений Сухов. Делу конец ― сроку начало (2007)] [омонимия не снята]
 ,яиневонсокирп оговреп ьтсежевс яаксечирткелэ ,темдерп; яартсо ;предмет, электрическая свежесть первого прикосновения, ; острая ; ; радость начала обладания.;Евгения Пищикова. Пятиэтажная Россия (2007);Евгения Пищикова;;Пятиэтажная Россия;2007;художественная;очерк, цикл;_;;;электронное издание;омонимия не снята;Да, да, да, им ведомо вещевое томление, первый взгляд, влюбленность в предмет, электрическая свежесть первого прикосновения, острая радость начала обладания. [Евгения Пищикова. Пятиэтажная Россия (2007)] [омонимия не снята]
 лавытыпси ртёП отч ,мот о; еортсо ;о том, что Пётр испытывал ; острое ; ; желание не просто подвергнуть наказанию,;Елена Уханова. Медаль для «нового Иуды» (2007) // «Родина», 2011;Елена Уханова;;Медаль для «нового Иуды»;2007;нехудожественная, публицистика;статья;армия и вооруженные конфликты, история, политика и общественная жизнь;«Родина»;2011;журнал;омонимия не снята;То, как она была обставлена, свидетельствует о том, что Пётр испытывал острое желание не просто подвергнуть наказанию, но и опозорить Мазепу. [Елена Уханова. Медаль для «нового Иуды» (2007) // «Родина», 2011] [омонимия не снята]
 латыпси я еьневонгм аН; еортсо ;На мгновенье я испытал ; острое ; ; желание обнять ее, прижать к;Зиновий Юрьев. Смертельное бессмертие // «Наука и жизнь», 2007;Зиновий Юрьев;;Смертельное бессмертие;2007;художественная;роман;_;«Наука и жизнь»;2007;журнал;омонимия не снята;На мгновенье я испытал острое желание обнять ее, прижать к себе и сказать: « Ну, конечно, о чем ты говоришь», но что-то удержало меня. [Зиновий Юрьев. Смертельное бессмертие // «Наука и жизнь», 2007] [омонимия не снята]
 од ,енидоР о ьтямап юнарх; йортсо ;храню память о Родине, до ; острой ; ; боли люблю все то, что;И. Крюкова. Романтическая сага (непридуманная история) // «Наука и жизнь», 2007;И. Крюкова;;Романтическая сага (непридуманная история);2007;нехудожественная, публицистика;мемуары;история, наука и технологии;«Наука и жизнь»;2007;журнал;омонимия не снята;Бережно храню память о Родине, до острой боли люблю все то, что мне напоминает о ней, как молитву повторяю: « Со мной была и есть Россия ― моя любовь, моя весна». [И. Крюкова. Романтическая сага (непридуманная история) // «Наука и жизнь», 2007] [омонимия не снята]
 ьтсе адгок ,огонм оннебосо А; еортсо ;А особенно много, когда есть ; острое ; ; желание сии миллионные « средства;коллективный. Форум: Телегония (2007);коллективный;;Форум: Телегония;2007;нехудожественная, электронная коммуникация;форум;астрология, парапсихология и эзотерика, естественные науки, религия, частная жизнь;;;электронный текст;омонимия не снята;D] А особенно много, когда есть острое желание сии миллионные « средства освоить», как говориться в некоторых кругах, весьм- а- весьма поднаторевших в этом деле. [коллективный. Форум: Телегония (2007)] [омонимия не снята]
 ен :мынсарк юавикрёчдоП; еортсо ;Подчёркиваю красным: не ; острое ; ; желание неких граждан, а официальное;...Всех задерживаем... (форум) (2005-2007);;;...Всех задерживаем... (форум);2005-2007;нехудожественная, электронная коммуникация;форум;политика и общественная жизнь;;;электронный текст;омонимия не снята;Подчёркиваю красным: не острое желание неких граждан, а официальное разрешение. [...Всех задерживаем... (форум) (2005-2007)] [омонимия не снята]
 еж йокат ьтыб тежом ,юьлоб; йортсо ;болью, может быть такой же ; острой ; ; болью стиснутого сердца, как та,;А. Е. Рекемчук. Мамонты (2006);А. Е. Рекемчук;1927;Мамонты;2006;художественная проза;роман;_;;;книга;омонимия не снята;Более того: я помнил даже почерк этого письма ― крупный, торопливый, сдерживаемый лишь слепотою глаз, дрожаньем руки и еще, вполне очевидно, изломанный болью, может быть такой же острой болью стиснутого сердца, как та, что сейчас остановила мою собеседницу на самом подходе к Большому Кремлевскому дворцу. [А. Е. Рекемчук. Мамонты (2006)] [омонимия не снята]
 !афакш ыцревд тенхапсар и тедйодоп; еортсО ;подойдет и распахнет дверцы шкафа! ; Острое ; ; желание бежать отсюда и не возвращаться;Дина Рубина. На солнечной стороне улицы (1980-2006);Дина Рубина;1953;На солнечной стороне улицы;1980-2006;художественная;роман;_;;;книга;омонимия не снята;подойдет и распахнет дверцы шкафа!  Острое желание бежать отсюда и не возвращаться никогда боролось с не менее острым желанием ― и даже велением!  [Дина Рубина. На солнечной стороне улицы (1980-2006)] [омонимия не снята]
 лавовтсвучоп и йомод яслунрев адгок; юуртсо ;когда вернулся домой и почувствовал ; острую ; ; боль в поддыхе.;Анатолий Приставкин. Вагончик мой дальний (2005);Анатолий Приставкин;1931;Вагончик мой дальний;2005;художественная;повесть;_;;;книга;омонимия не снята;А вот переломилось во мне, лишь когда вернулся домой и почувствовал острую боль в поддыхе. [Анатолий Приставкин. Вагончик мой дальний (2005)] [омонимия не снята]
 с орту еоджак ястюапысорп ино; мыртсо ;они просыпаются каждое утро с ; острым ; ; желанием бросить курить, начать делать гимнастику,;Андрей Рубанов. Сажайте, и вырастет (2005);Андрей Рубанов;1969;Сажайте, и вырастет;2005;художественная;роман;_;;;книга;омонимия не снята;Вдруг они просыпаются каждое утро с острым желанием бросить курить, начать делать гимнастику, но уже не способны себя заставить?  [Андрей Рубанов. Сажайте, и вырастет (2005)] [омонимия не снята]
 яинелвяоп од ,оньлис теуделс ьтиБ; йортсо ;Бить следует сильно, до появления ; острой ; ; боли.;Андрей Рубанов. Сажайте, и вырастет (2005);Андрей Рубанов;1969;Сажайте, и вырастет;2005;художественная;роман;_;;;книга;омонимия не снята;Бить следует сильно, до появления острой боли. [Андрей Рубанов. Сажайте, и вырастет (2005)] [омонимия не снята]
 омимоп ,лащущо ежад И; йортсо ;И даже ощущал, помимо ; острой ; ; боли в разных частях тела,;Андрей Рубанов. Сажайте, и вырастет (2005);Андрей Рубанов;1969;Сажайте, и вырастет;2005;художественная;роман;_;;;книга;омонимия не снята;И даже ощущал, помимо острой боли в разных частях тела, некое сдобренное молодой отвагой удовлетворение: я попран, унижен, побит, но жив, цел и едва не весел. [Андрей Рубанов. Сажайте, и вырастет (2005)] [омонимия не снята]
 ьсяадижод ен ,ыбуз ьтичелыв алишер; йортсо ;решила вылечить зубы, не дожидаясь ; острой ; ; боли.;Елена Топильская. Помни о смерти (memento mori) (2005);Елена Топильская;1959;Помни о смерти (memento mori);2005;художественная;роман;_;;;книга;омонимия не снята;"Правда, не без оснований; был период в моей жизни, когда я стремилась к идеалу и решила вылечить зубы, не дожидаясь острой боли. [Елена Топильская. Помни о смерти (memento mori) (2005)] [омонимия не снята]"
 олизнорп ьтсюлеч :алунхо и ыбуз; йортсо ;зубы и охнула: челюсть пронзило ; острой ; ; болью.;Елена Топильская. Помни о смерти (memento mori) (2005);Елена Топильская;1959;Помни о смерти (memento mori);2005;художественная;роман;_;;;книга;омонимия не снята;Давая себе мысленно такое обещание, я стиснула зубы и охнула: челюсть пронзило острой болью. [Елена Топильская. Помни о смерти (memento mori) (2005)] [омонимия не снята]
 с ыВ « :алисорпс артсесдем; йортсо ;медсестра спросила: « Вы с ; острой ; ; болью? ;Елена Топильская. Помни о смерти (memento mori) (2005);Елена Топильская;1959;Помни о смерти (memento mori);2005;художественная;роман;_;;;книга;омонимия не снята;Я вошла в кабинет с таким несчастным выражением лица, что медсестра спросила: « Вы с острой болью?  [Елена Топильская. Помни о смерти (memento mori) (2005)] [омонимия не снята]
 еинатечоС; огортсо ;Сочетание ; острого ; ; желания съесть суп и стыда;Нонна Мордюкова. Казачка (2005);Нонна Мордюкова;1925;Казачка;2005;нехудожественная, публицистика;мемуары;частная жизнь;;;книга;омонимия не снята;Сочетание острого желания съесть суп и стыда от этого желания было невыносимо. [Нонна Мордюкова. Казачка (2005)] [омонимия не снята]
 ―; яартсО ;― ; Острая ; ; боль есть? ;Татьяна Сахарова. Добрая фея с острыми зубками (2005);Татьяна Сахарова;;Добрая фея с острыми зубками;2005;художественная;роман;_;;;книга;омонимия не снята;― Острая боль есть?  [Татьяна Сахарова. Добрая фея с острыми зубками (2005)] [омонимия не снята]
; яартсО ;; Острая ; ; боль? ;Реклама // «Лиза», 2005;;;Реклама;2005;нехудожественная, реклама;заметка;здоровье и медицина;«Лиза»;2005;журнал;омонимия не снята; Острая боль?  [Реклама // «Лиза», 2005] [омонимия не снята]
 с кеволеЧ; йортсо ;Человек с ; острой ; ; болью.;Дарья Донцова. Уха из золотой рыбки (2004);Дарья Донцова;1952;Уха из золотой рыбки;2004;художественная;роман;_;;;книга;омонимия не снята;Человек с острой болью. [Дарья Донцова. Уха из золотой рыбки (2004)] [омонимия не снята]
 ьтсе ,яровог ечанИ; еортсо ;Иначе говоря, есть ; острое ; ; желание приобрести иномарку ― увы,;Игорь Твердунов. Иномарки по цене «жигулей» // «За рулем», 2004.02.15;Игорь Твердунов;;Иномарки по цене «жигулей»;2004;нехудожественная, публицистика;статья;техника;«За рулем»;2004.02.15;журнал;омонимия не снята;Иначе говоря, есть острое желание приобрести иномарку ― увы, никак не подкрепленное возможностями. [Игорь Твердунов. Иномарки по цене «жигулей» // «За рулем», 2004.02.15] [омонимия не снята]
