Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
 огонсарк акчуртс 2 ,атсил хыворвал; огортсо ;лавровых листа, 2 стручка красного ; острого ; ; перца, 10 гвоздик и 5-;Е. Ленская, Е. Фролов. Стратегические припасы // «Сельская новь», 2003.09.16;Е. Ленская, Е. Фролов;;Стратегические припасы;2003;нехудожественная, публицистика;рецепт;дом и домашнее хозяйство;«Сельская новь»;2003.09.16;журнал;омонимия не снята;Перед укладкой капусты в литровую банку положите 2 лавровых листа, 2 стручка красного острого перца, 10 гвоздик и 5- 6 горошин черного перца. [Е. Ленская, Е. Фролов. Стратегические припасы // «Сельская новь», 2003.09.16] [омонимия не снята]
 с асям г 004 ; мыртсо ; 400 г мяса с ; острым ; ; соусом, красным перцем и фасолью;Стройность за 6 недель // «100% здоровья», 2003.02.14;;;Стройность за 6 недель;2003;нехудожественная, публицистика;статья;здоровье и медицина;«100% здоровья»;2003.02.14;журнал;омонимия не снята;6)  400 г мяса с острым соусом, красным перцем и фасолью с рисом и салатом. [Стройность за 6 недель // «100% здоровья», 2003.02.14] [омонимия не снята]
 отэ ,огесв еджерП; йыртсо ;Прежде всего, это ; острый ; ; соус из сцен насилия, сам;Читая Бориса Акунина // «Вестник США», 2003.07.23;;;Читая Бориса Акунина;2003;нехудожественная, публицистика;статья;искусство и культура;«Вестник США»;2003.07.23;газета;омонимия не снята;Прежде всего, это острый соус из сцен насилия, сам я человек мирный, но, знаю, читателю они щекочут нервы. [Читая Бориса Акунина // «Вестник США», 2003.07.23] [омонимия не снята]
 ьнечо ен ,ерем йенйарк оп; юуртсо ;по крайней мере, не очень ; острую ;) ; горчицу, а также плетеный крендель;Анатолий Гендин. Бабушка американского хот-дога. Франкфуртской колбаске исполнилось 515 лет // «Известия», 2002.10.02;Анатолий Гендин;;Бабушка американского хот-дога. Франкфуртской колбаске исполнилось 515 лет;2002;нехудожественная, публицистика;статья;политика и общественная жизнь;«Известия»;2002.10.02;газета;омонимия не снята;Если вам захотелось устроить себе настоящий баварский завтрак, отварите несколько свежих белых мюнхенских колбасок в зеленую крапинку и приготовьте сладкую ( или, по крайней мере, не очень острую) горчицу, а также плетеный крендель с крупными кристаллами соли на румяной корочке ( немцы называют его « бретцель»). [Анатолий Гендин. Бабушка американского хот-дога. Франкфуртской колбаске исполнилось 515 лет // «Известия», 2002.10.02] [омонимия не снята]
 а ,йытсишуд йымас кешорог йытсишуд; йыртсо ;душистый горошек самый душистый, а ; острый ; ; перец ― самый острый.;Юлия Пешкова. Пустили сэра в огород // «Домовой», 2002.08.04;Юлия Пешкова;;Пустили сэра в огород;2002;нехудожественная, публицистика;статья;частная жизнь;«Домовой»;2002.08.04;журнал;омонимия не снята;И не дай вам бог иронично улыбнуться или усомниться в том, что его душистый горошек самый душистый, а острый перец ― самый острый. [Юлия Пешкова. Пустили сэра в огород // «Домовой», 2002.08.04] [омонимия не снята]
 в телмаГ « иалокиН одьлА; мортсо ;Альдо Николаи « Гамлет в ; остром ; ; соусе» ( постановка Петра Штейна).;Между // «Известия», 2002.09.01;;;Между;2002;нехудожественная, публицистика;статья;искусство и культура;«Известия»;2002.09.01;газета;омонимия не снята;Пока он только раскачивается ― на следующей неделе Театр имени Гоголя покажет сигаревское « Черное молоко» ( режиссер Сергей Яшин), а во МХАТе имени Чехова пройдет пьеса Альдо Николаи « Гамлет в остром соусе» ( постановка Петра Штейна). [Между // «Известия», 2002.09.01] [омонимия не снята]
 отэ ― илиЧ; йыртсо ;Чили ― это ; острый ; ; соус, я знаю, ― бесцеремонно;Александр Богдан, Геннадий Прашкевич. Человек «Ч» (2001);Александр Богдан, Геннадий Прашкевич;;Человек «Ч»;2001;художественная;роман;_;;;книга;омонимия не снята;Чили ― это острый соус, я знаю, ― бесцеремонно заявила опьяневшая Нюрка. [Александр Богдан, Геннадий Прашкевич. Человек «Ч» (2001)] [омонимия не снята]
 ил от ,ьворк ил от; йыртсо ;то ли кровь, то ли ; острый ; ; соус.;Александр Богдан, Геннадий Прашкевич. Человек «Ч» (2001);Александр Богдан, Геннадий Прашкевич;;Человек «Ч»;2001;художественная;роман;_;;;книга;омонимия не снята;И как один из трех пожилых интеллигентных индусов, вскрикнув, перевернулся вместе со стулом, стирая со столика белыми одеяниями то ли кровь, то ли острый соус. [Александр Богдан, Геннадий Прашкевич. Человек «Ч» (2001)] [омонимия не снята]
 доп убыр юундолох ,имянемьлеп имытавоклем; мыртсо ;мелковатыми пельменями, холодную рыбу под ; острым ; ; соусом, две тарелочки рубленой говядины;Валериан Скворцов. Каникулы вне закона (2001);Валериан Скворцов;1935;Каникулы вне закона;2001;художественная;роман;_;;;книга;омонимия не снята;Без аппетита мы съели остывший суп с мелковатыми пельменями, холодную рыбу под острым соусом, две тарелочки рубленой говядины и свинины, куриные крылышки и выпили еще по кружке « Будвайзера». [Валериан Скворцов. Каникулы вне закона (2001)] [омонимия не снята]
 окьлот иитрап ьтивотог тедуб равоп; еыртсо ;повар будет готовить партии только ; острые ; ; блюда».;Борис Ефимов. Десять десятилетий (2000);Борис Ефимов;1900;Десять десятилетий;2000;нехудожественная, публицистика;мемуары;_;;;книга;омонимия не снята;Владимир Ильич как-то сказал по адресу товарища Сталина: « Сей повар будет готовить партии только острые блюда». [Борис Ефимов. Десять десятилетий (2000)] [омонимия не снята]
 юлбюл я ,огечиН; еыртсо ;Ничего, я люблю ; острые ; ; блюда, ― улыбнулся он.;Виктор Доценко. Тридцатого уничтожить! (2000);Виктор Доценко;1946;Тридцатого уничтожить!;2000;художественная;роман;_;;;книга;омонимия не снята;Ничего, я люблю острые блюда, ― улыбнулся он. [Виктор Доценко. Тридцатого уничтожить! (2000)] [омонимия не снята]
 в едг ,юлюртсак »икретсеш «; мортсо ;« шестерки» кастрюлю, где в ; остром ; ; соусе плавали куски жареного мяса.;Виктор Мясников. Водка (2000);Виктор Мясников;1956;Водка;2000;художественная;роман;_;;;книга;омонимия не снята;Мамед выгрузил из багажника своей « шестерки» кастрюлю, где в остром соусе плавали куски жареного мяса. [Виктор Мясников. Водка (2000)] [омонимия не снята]
 и мерибми с ― еокат; мыртсо ;такое ― с имбирем и ; острым ; ; перцем.;Петр Акимов. Плата за страх (2000);Петр Акимов;;Плата за страх;2000;художественная;роман;_;;;книга;омонимия не снята;Мясо такое ― с имбирем и острым перцем. [Петр Акимов. Плата за страх (2000)] [омонимия не снята]
 мынсарк ьтиварпаз метаз ,туним 02; мыртсо ;20 минут, затем заправить красным ; острым ; ; перцем.;Что у нас на обед (2000);;;Что у нас на обед;2000;бытовая, нехудожественная;рецепт;дом и домашнее хозяйство;;;книга;омонимия не снята;После добавления оттяжки бульон нагреть до кипения и варить в течение 15- 20 минут, затем заправить красным острым перцем. [Что у нас на обед (2000)] [омонимия не снята]
 йынсарк ьтивабод ытортсо йешьлоб ялд; йыртсо ;для большей остроты добавить красный ; острый ; ; перец.;Что у нас на обед (2000);;;Что у нас на обед;2000;бытовая, нехудожественная;рецепт;дом и домашнее хозяйство;;;книга;омонимия не снята;"Сыр натереть на терке и смешать с томатом- пастой, яйцом и маслом; для большей остроты добавить красный острый перец. [Что у нас на обед (2000)] [омонимия не снята]"
 ,адалокош то ,ефок ,яач огокперк; хыртсо ;крепкого чая, кофе, от шоколада, ; острых ; ; блюд и, конечно, алкогольных напитков.;Владимир Шахиджанян. 1001 вопрос про ЭТО (№№ 1-500) (1999);Владимир Шахиджанян;1940;1001 вопрос про ЭТО (№№ 1-500);1999;нехудожественная, учебно-научная;учебное пособие;здоровье и медицина;;;книга;омонимия не снята;Половое возбуждение усиливается после крепкого чая, кофе, от шоколада, острых блюд и, конечно, алкогольных напитков. [Владимир Шахиджанян. 1001 вопрос про ЭТО (№№ 1-500) (1999)] [омонимия не снята]
 ,итсонярп оген зи вичюлкси ,яинатип; еыртсо ;питания, исключив из него пряности, ; острые ; ; блюда, скорректировать режим дня, добавить;Владимир Шахиджанян. 1001 вопрос про ЭТО (№№ 1-500) (1999);Владимир Шахиджанян;1940;1001 вопрос про ЭТО (№№ 1-500);1999;нехудожественная, учебно-научная;учебное пособие;здоровье и медицина;;;книга;омонимия не снята;Может быть, для этого стоит изменить рацион питания, исключив из него пряности, острые блюда, скорректировать режим дня, добавить физической нагрузки, чаще обливаться холодной водой. [Владимир Шахиджанян. 1001 вопрос про ЭТО (№№ 1-500) (1999)] [омонимия не снята]
" в еынераж ;авилсонреч апит имадогя"; мортсо ;"ягодами типа чернослива; жареные в "; остром ; ; соусе « коконы», типа бобов,;Ирина Соколова. Бабочки летают (заметки о Тайване) (1999);Ирина Соколова;;Бабочки летают (заметки о Тайване);1999;нехудожественная, публицистика;монография;путешествия;;;электронный текст;омонимия не снята;"Состав, например, таков: салат из кукурузы, фасоли, проростков маша, ветчины; тушеная травка со стебельками; большая свиная отбивная, запеченная в фольге; копченая свинина мелкими кусочками, тушеная с ягодами типа чернослива; жареные в остром соусе « коконы», типа бобов, с чесноком; вареный рис. [Ирина Соколова. Бабочки летают (заметки о Тайване) (1999)] [омонимия не снята]"
 с абыр яарыс ( имисас; мыртсо ;сасими ( сырая рыба с ; острым ; ; соусом).;Ирина Соколова. Бабочки летают (заметки о Тайване) (1999);Ирина Соколова;;Бабочки летают (заметки о Тайване);1999;нехудожественная, публицистика;монография;путешествия;;;электронный текст;омонимия не снята;"Между основными блюдами приносят более легкие закуски в виде подсоленных с красным перцем свежих огурцов или плодов лотоса, приправленных крахмальным соусом; а также сасими ( сырая рыба с острым соусом). [Ирина Соколова. Бабочки летают (заметки о Тайване) (1999)] [омонимия не снята]"
 ястеялвабод ,алсам огонмен ястеавилан леток; йыртсо ;котел наливается немного масла, добавляется ; острый ; ; соус и зеленый лук ―;Ирина Соколова. Бабочки летают (заметки о Тайване) (1999);Ирина Соколова;;Бабочки летают (заметки о Тайване);1999;нехудожественная, публицистика;монография;путешествия;;;электронный текст;омонимия не снята;В котел наливается немного масла, добавляется острый соус и зеленый лук ― обжаривается. [Ирина Соколова. Бабочки летают (заметки о Тайване) (1999)] [омонимия не снята]
 ― окат кинтупс йыннемерпеН; йыртсо ;Непременный спутник тако ― ; острый ; ; соус на основе томата и;Н. В. Карпова. Письмо из Америки об американской кухне (1999);Н. В. Карпова;;Письмо из Америки об американской кухне;1999;бытовая, нехудожественная;письмо;дом и домашнее хозяйство;;;электронный текст;омонимия не снята;Непременный спутник тако ― острый соус на основе томата и красного перца. [Н. В. Карпова. Письмо из Америки об американской кухне (1999)] [омонимия не снята]
 огонсарк г 51 ,арахас г; огортсо ;г сахара, 15 г красного ; острого ; ; перца, 10 г черного перца.;Т. А. Гаврилова, Т. М. Воробьева. Домашнее консервирование (1999);Т. А. Гаврилова, Т. М. Воробьева;;Домашнее консервирование;1999;нехудожественная, публицистика;монография;дом и домашнее хозяйство;;;книга;омонимия не снята;На 6, 5 кг помидоров ― 600 г репчатого лука, 4 кг моркови, 250 г кореньев пастернака, 130 г кореньев петрушки, 130 г кореньев сельдерея, по 50 г зелени укропа, петрушки, сельдерея, 100 г соли, 100 г сахара, 15 г красного острого перца, 10 г черного перца. [Т. А. Гаврилова, Т. М. Воробьева. Домашнее консервирование (1999)] [омонимия не снята]
 мокшилс ьтивотог огещябюл ,аравоп «; еыртсо ;« повара, любящего готовить слишком ; острые ; ; блюда» ( слова Ленина), вызывали;Юрий Елагин. Темный гений (1998);Юрий Елагин;1910;Темный гений;1998;нехудожественная, публицистика;биография;_;;;книга;омонимия не снята;Продолжавшиеся интриги и жульнические маневры « повара, любящего готовить слишком острые блюда» ( слова Ленина), вызывали возмущение со стороны большинства старых ленинских соратников. [Юрий Елагин. Темный гений (1998)] [омонимия не снята]
 ьтичюлкси теуделс аноицар зи А; еыртсо ;А из рациона следует исключить ; острые ; ; блюда, мед, шоколад, другие сладости,;С. Масюкова. Чирий // «Здоровье», 1997.12.15;С. Масюкова;;Чирий;1997;нехудожественная, публицистика;статья;здоровье и медицина;«Здоровье»;1997.12.15;журнал;омонимия не снята;А из рациона следует исключить острые блюда, мед, шоколад, другие сладости, картофель. [С. Масюкова. Чирий // «Здоровье», 1997.12.15] [омонимия не снята]
 с икшепел еынсям итэ мат; мыртсо ;там эти мясные лепешки с ; острым ; ; соусом особенно хороши.;Афиша // «Столица», 1997.06.10;;;Афиша;1997;нехудожественная, публицистика;обзор;досуг, зрелища и развлечения;«Столица»;1997.06.10;журнал;омонимия не снята;Именно там эти мясные лепешки с острым соусом особенно хороши. [Афиша // «Столица», 1997.06.10] [омонимия не снята]
 и хынриж зеб ― юущядащ; хыртсо ;щадящую ― без жирных и ; острых ; ; блюд, жареного и консервов, полезнее;[Советы] // «Работница», 1988;;;[Советы];1988;нехудожественная, публицистика;совет;здоровье и медицина;«Работница»;1988;журнал;омонимия не снята;А вот диету введите щадящую ― без жирных и острых блюд, жареного и консервов, полезнее всего молочно- растительная пища. [[Советы] // «Работница», 1988] [омонимия не снята]
 ещялап то ьсащром ,я лазакс; йортсо ;сказал я, морщась от паляще ; острой ; ; горчицы.;Аркадий Вайнер, Георгий Вайнер. Лекарство против страха (1987);Аркадий Вайнер, Георгий Вайнер;1931 | 1938;Лекарство против страха;1987;художественная;роман;_;;;книга;омонимия не снята;Я узнал, чьи эти деньги, а это уже немало, ― спокойно сказал я, морщась от паляще острой горчицы. [Аркадий Вайнер, Георгий Вайнер. Лекарство против страха (1987)] [омонимия не снята]
 еелоб онелвотогирп сачйес отч ,онечюлкси; еортсо ;исключено, что сейчас приготовлено более ; острое ; ; блюдо.;Ю. М. Нагибин. Один на один (1972-1979);Ю. М. Нагибин;1920;Один на один;1972-1979;художественная;повесть;_;;;книга;омонимия не снята;В первые его приезды месть каудильо проявилась в полном пренебрежении властей к заядлому республиканцу, не исключено, что сейчас приготовлено более острое блюдо. [Ю. М. Нагибин. Один на один (1972-1979)] [омонимия не снята]
 мелетибюл лыб ен укьлоксоп ,имятсонбордоп; хыртсо ;подробностями, поскольку не был любителем ; острых ; ; блюд.;Ю. М. Нагибин. Перед твоим престолом (1972-1979);Ю. М. Нагибин;1920;Перед твоим престолом;1972-1979;художественная;рассказ;_;;;книга;омонимия не снята;Но то ли Вильгельм Фридеман не все рассказал Форкелю, то ли сдержанный профессор сам пожертвовал некоторыми подробностями, поскольку не был любителем острых блюд. [Ю. М. Нагибин. Перед твоим престолом (1972-1979)] [омонимия не снята]
 и ыварт еичухап ,халетрев ан; еыртсо ;на вертелах, пахучие травы и ; острые ; ; соусы, крепкий кофе в медных;Ю. М. Нагибин. Трое и одна и еще один (1972-1979);Ю. М. Нагибин;1920;Трое и одна и еще один;1972-1979;художественная;рассказ;_;;;книга;омонимия не снята;Хорошо бы окатиться холодной водой, надеть легкий костюм из холстинки и спуститься в духан, где пресные лепешки и кислое вино, молодая баранина на вертелах, пахучие травы и острые соусы, крепкий кофе в медных кувшинчиках, но лучше перемочь это желание и взамен соблазнительных яств принять еще таблетку снотворного, избавляющего от голода и жажды. [Ю. М. Нагибин. Трое и одна и еще один (1972-1979)] [омонимия не снята]
 ,унноброС ,жираП алибюл он ,юицаргимэ; еыртсо ;эмиграцию, но любила Париж, Сорбонну, ; острые ; ; блюда и острые разговоры французской;Н. И. Гаген-Торн. Memoria (1936-1979);Н. И. Гаген-Торн;1900;Memoria;1936-1979;нехудожественная, публицистика;мемуары;_;;;книга;омонимия не снята;Она не любила эмиграцию, но любила Париж, Сорбонну, острые блюда и острые разговоры французской интеллигенции. [Н. И. Гаген-Торн. Memoria (1936-1979)] [омонимия не снята]
 доп талас тотэ тов елачанВ; мыртсо ;Вначале вот этот салат под ; острым ; ; соусом.;Сергей Жемайтис. Большая лагуна (1977);Сергей Жемайтис;1908;Большая лагуна;1977;художественная;роман;_;;;книга;омонимия не снята;Вначале вот этот салат под острым соусом. [Сергей Жемайтис. Большая лагуна (1977)] [омонимия не снята]
« окьлот либюл фогнеираМ; еыртсо ;Мариенгоф любил только «; острые ; ; блюда» в стихах.;Рюрик Ивнев. У подножия Мтацминды (1973);Рюрик Ивнев;1891;У подножия Мтацминды;1973;художественная;повесть;_;;;книга;омонимия не снята;Мариенгоф любил только «острые блюда» в стихах. [Рюрик Ивнев. У подножия Мтацминды (1973)] [омонимия не снята]
 моксечитсиланоицан о ьтатчем теаничан гурдв; мортсо ;вдруг начинает мечтать о националистическом ; остром ; ; соусе к своей безликой стряпне.;В. Чалмаев. Чувство семьи единой // «Огонек». № 11, 1970;В. Чалмаев;;Чувство семьи единой;1970;нехудожественная, публицистика;статья;искусство и культура, история, политика и общественная жизнь;«Огонек». № 11;1970;журнал;омонимия не снята;Вчерашний поборник герметизации легко становится с изменением моды и ситуации « гражданином мира», и, наоборот, догматик модернизма вдруг начинает мечтать о националистическом остром соусе к своей безликой стряпне. [В. Чалмаев. Чувство семьи единой // «Огонек». № 11, 1970] [омонимия не снята]
